[(132, 'Pan-Island Expressway'),
 (22, 'Woodlands Avenue 5'),
 (22, 'Shell'),
 (22, 'Punggol Central'),
 (22, 'Marine Parade Road'),
 (22, 'Lorong 6 Toa Payoh'),
 (22, 'Landed House'),
 (22, 'Jalan Gelang Patah-Skudai'),
 (22, 'Admiralty Road'),
 (22, '28'),
 (22, '26'),
 (21, 'Upper Bukit Timah Road'),
 (21, 'Sengkang East Avenue'),
 (21, 'Seletar Interchange'),
 (21, 'Lorong 2'),
 (21, 'Former KTM Jurong Spur'),
 (21, 'FRU'),
 (21, 'Esso'),
 (20, 'Varsity PArk Path 3'),
 (20, 'Upper Changi Road'),
 (20, 'Tiong Bahru Road'),
 (20, 'Tering Bay Golf'),
 (20, 'Tampines Avenue 5'),
 (20, 'Seletar Aerospace Interchange'),
 (20, 'Paya Lebar Road'),
 (20, 'MRT East West Line (EW)'),
 (20, 'Jl.Gajah Mada'),
 (20, 'Ferry Terminal Btm Cntr'),
 (20, 'Ang Mo Kio Avenue 1'),
 (20, 'Aljunied Road'),
 (20, '24'),
 (19, 'Woodlands Avenue 3'),
 (19, 'Tuas Road'),
 (19, 'Tampines Avenue 9'),
 (19, 'Skudai Highway Interchange'),
 (19, 'Siglap Park Connector'),
 (19, 'New Upper Changi Road'),
 (19, 'Nanyang Avenue'),
 (19, 'Loyang Avenue'),
 (19, 'Kempas Highway'),
 (19, 'Jl.Yos Sudarso'),
 (19, 'Jalan Besar'),
 (19, 'Hougang Avenue 8'),
 (19, 'Fanindo'),
 (19, 'Dunearn Road'),
 (19, '51'),
 (19, '39'),
 (19, '27'),
 (18, 'Yishun Avenue 2'),
 (18, 'Varsity Park Path 2'),
 (18, 'Marymount Road'),
 (18, 'Lebuhraya Hubungan Kedua (Hubungan Senai)'),
 (18, 'Jurong Park Connector'),
 (18, 'Jalan Masai Lama'),
 (18, 'Choa Chu Kang Way'),
 (18, 'Causeway'),
 (18, 'CIQ Interchange'),
 (18, 'Brickland Road'),
 (18, '37'),
 (18, '33'),
 (17, 'Woodlands Avenue 7'),
 (17, 'Tanah Merah Coast Road'),
 (17, 'Tampines Avenue 2'),
 (17, 'Tampines Avenue 10'),
 (17, 'Shop Houses'),
 (17, 'Pluto'),
 (17, 'Panbil Industrial Estate'),
 (17, 'Jurong West Avenue 5'),
 (17, 'Jalan Pusat Bandar'),
 (17, 'Jalan Persiaran Indah Utama'),
 (17, 'Hougang Avenue 2'),
 (17, 'Bukit Batok East Avenue 3'),
 (17, 'Ang Mo Kio Avenue 4'),
 (17, '36'),
 (17, '34'),
 (17, '13'),
 (16, 'Tuas South Avenue 5'),
 (16, 'Toh Guan Road'),
 (16, 'Skudai Interchange'),
 (16, 'Serangoon Road'),
 (16, 'Sengkang Square'),
 (16, 'Sengkang East Road'),
 (16, 'Outram Road'),
 (16, 'Ocean Drive'),
 (16, 'Kabil Raya'),
 (16, 'Jurong West Avenue 4'),
 (16, 'Jl.Laksamana Bintan'),
 (16, 'Jalan Pontian'),
 (16, 'Hougang Avenue 4'),
 (16, 'Hougang Avenue 10'),
 (16, 'Gateway Avenue'),
 (16, 'Cove Drive'),
 (16, 'Bukit Panjang Road'),
 (16, 'Bedok North Road'),
 (16, '41'),
 (16, '35'),
 (15, 'Yishun Ring Road'),
 (15, 'Yishun Avenue 1'),
 (15, 'Upper Jurong Road'),
 (15, 'Toh Yi Drive'),
 (15, 'Tanglin Road'),
 (15, 'Tampoi North Interchange'),
 (15, 'Tampines Avenue 7'),
 (15, 'Sims Avenue'),
 (15, 'Simei Road'),
 (15, 'Shophouses'),
 (15, 'Punggol Interchange'),
 (15, 'Perumahan Nusa Indah'),
 (15, 'Penjuru Road'),
 (15, 'Jurong West Central 3'),
 (15, 'Jurong Gateway Road'),
 (15, 'Jalan Sutera Danga'),
 (15, 'Hougang Central'),
 (15, 'Havelock Road'),
 (15, 'Guillemard Road'),
 (15, 'Farrer Road'),
 (15, 'Compassvale Road'),
 (15, 'Blk 1'),
 (15, 'Airport Road'),
 (14, 'Yio Chu Kang Interchange'),
 (14, 'Woodlands Avenue 9'),
 (14, 'Whampoa Flyover'),
 (14, 'Victoria Street'),
 (14, 'Seletar Aerospace Drive'),
 (14, 'Punggol West Interchange'),
 (14, 'Pasar Tiban Centre'),
 (14, 'Parking'),
 (14, 'Old Choa Chu Kang Road'),
 (14, 'Mountbatten Road'),
 (14, 'Lorong 3'),
 (14, 'Lim Chu Kang Road'),
 (14, 'Keppel Way'),
 (14, 'Kampong Bahru Road'),
 (14, 'Kallang Bahru'),
 (14, 'Jl.Soeprapto'),
 (14, 'Jalan Tampoi'),
 (14, 'Jalan Eunos'),
 (14, 'Hougang Avenue 3'),
 (14, 'Geylang Road'),
 (14, 'East Coast Park Service Road'),
 (14, 'Compassvale Drive'),
 (14, 'Clemenceau Avenue'),
 (14, 'Bukit Panjang LRT'),
 (14, 'Bukit Batok Road'),
 (14, 'Buggy Track'),
 (14, 'Blk 8'),
 (14, 'Bendemeer Road'),
 (14, 'Ang Mo Kio Avenue 8'),
 (14, '??'),
 (14, '123'),
 (14, '122'),
 (14, '113'),
 (13, 'Woodlands Avenue 12'),
 (13, 'Tampines Avenue 1'),
 (13, 'South Buona Vista Road'),
 (13, 'Simei Street 3'),
 (13, 'Sengkang West Road'),
 (13, 'Ruko Mitra Raya'),
 (13, 'Rivervale Drive'),
 (13, 'Rail Corridor'),
 (13, 'Petronas'),
 (13, 'Persiaran Seri Alam'),
 (13, 'Pasir Ris Drive 12'),
 (13, 'Nicoll Highway'),
 (13, 'Marina Gardens Drive'),
 (13, 'Jurong East Central'),
 (13, 'Jalan Tun Abdul Razak'),
 (13, 'Jalan Daya'),
 (13, 'HSBC Treetop Walk'),
 (13, 'Grange Road'),
 (13, 'Former KTM Western Jurong Spur'),
 (13, 'Caltex'),
 (13, 'Bukit Timah Canal'),
 (13, 'Bukit Batok Central'),
 (13, 'Buangkok Green'),
 (13, 'Buangkok Drive'),
 (13, 'Blk 7'),
 (13, 'Blk 6'),
 (13, 'Blk 5'),
 (13, 'Blk 4'),
 (13, 'Blk 3'),
 (13, 'Blk 2'),
 (13, 'Blk 18'),
 (13, '47'),
 (13, '45'),
 (13, '38'),
 (13, '121'),
 (13, '111'),
 (13, '109'),
 (13, '107'),
 (13, '101'),
 (12, 'Xilin Avenue'),
 (12, 'Tanjong Kling Road'),
 (12, 'Senai Desaru Expressway'),
 (12, 'Sembawang Way'),
 (12, 'Sekolah Menengah Kebangsaan Tun Syed Nasir Ismail'),
 (12, 'Punggol Way'),
 (12, 'Petir Road'),
 (12, 'Pasir Panjang Road'),
 (12, 'Palm Spring Golf Course'),
 (12, 'Lorong Chuan'),
 (12, 'Lorong 2 Toa Payoh'),
 (12, 'Lornie Road'),
 (12, 'Keppel Road'),
 (12, 'Jurong West Avenue 2'),
 (12, 'Johor Bahru East Coast Highway'),
 (12, 'Jl.Ir.Sutami'),
 (12, 'Jalan Tanjung Puteri'),
 (12, 'Jalan Sutera'),
 (12, 'Jalan Persiaran Anggerik'),
 (12, 'Jalan Meranti'),
 (12, 'Jalan Kayu Interchange'),
 (12, 'Jalan Damai'),
 (12, 'Jalan Bentara'),
 (12, 'Jalan Anak Bukit'),
 (12, 'Edgefield Plains'),
 (12, 'Changi South Avenue 1'),
 (12, 'Canberra Road'),
 (12, 'CIQ Link'),
 (12, 'Bishan Road'),
 (12, 'Benoi Road'),
 (12, 'Alps Avenue'),
 (12, '53'),
 (12, '50'),
 (12, '43'),
 (12, '119'),
 (12, '114'),
 (12, '112'),
 (12, '110'),
 (12, '103'),
 (11, 'Woodlands Avenue 4'),
 (11, 'Upper Changi Road North'),
 (11, 'Skudai North Interchange'),
 (11, 'Siglap Link'),
 (11, 'Sheares Avenue'),
 (11, 'Senja Road'),
 (11, 'Punggol East'),
 (11, 'Portsdown Road'),
 (11, 'Pasar Sei.Panas Bengkong'),
 (11, 'Nusajaya Roundabout Interchange'),
 (11, 'Newton Circus'),
 (11, 'New Bridge Road'),
 (11, 'Moulmein Road'),
 (11, 'Lentor Avenue'),
 (11, 'Kolej Kejuruteraan & Sains Kreatif'),
 (11, 'Jurong West Street 63'),
 (11, 'Jalan Pulai Perdana'),
 (11, 'Jalan Pandan'),
 (11, 'Jalan Nusa Perintis'),
 (11, 'Jalan Kota'),
 (11, 'Jalan Kayu'),
 (11, 'Jalan Datin Halimah'),
 (11, 'International Business Park'),
 (11, 'Harbour Bay'),
 (11, 'Gombak Drive'),
 (11, 'Clementi Avenue 2'),
 (11, 'CIQ (Motorcar)'),
 (11, 'CIQ (Bus)'),
 (11, 'Bukit Batok Driving Centre'),
 (11, 'Boon Lay Avenue'),
 (11, 'Blk 13'),
 (11, 'Bedok Park Connector'),
 (11, 'Bayfront Avenue'),
 (11, '60'),
 (11, '55'),
 (11, '54'),
 (11, '49'),
 (11, '234'),
 (11, '231'),
 (11, '127'),
 (11, '126'),
 (11, '125'),
 (11, '124'),
 (11, '120'),
 (11, '117'),
 (11, '116'),
 (11, '115'),
 (11, '108'),
 (11, '106'),
 (11, '102'),
 (10, 'Yuan Ching Road'),
 (10, 'Yishun Central'),
 (10, 'Yishun Avenue 7'),
 (10, 'Woodlands Regional Bus Interchange'),
 (10, 'Woodlands Avenue 6'),
 (10, 'Vila Panbil'),
 (10, 'Upper East Coast Road'),
 (10, 'Turf Club Avenue'),
 (10, 'Tanjung Langsat Highway'),
 (10, 'Tanjong Penjuru'),
 (10, 'Simei Park Connector'),
 (10, 'Siglap Road'),
 (10, 'Sengkang West Way'),
 (10, 'Sengkang East Drive'),
 (10, 'River Valley Road'),
 (10, 'Patra Niaga Depo Bbm Kabil'),
 (10, 'Pasir Gudang West Interchange'),
 (10, 'Nusajaya Highway'),
 (10, 'Mount Pleasant Road'),
 (10, 'Marina Coastal Drive'),
 (10, 'Marina Boulevard'),
 (10, 'MacPherson Road'),
 (10, 'Lorong 5'),
 (10, 'Jurong West Street 71'),
 (10, 'Johor Bahru Eastern Dispersal Link Expressway'),
 (10, 'Jl.Duyung'),
 (10, 'Jalan Tenaga'),
 (10, 'Jalan Sejahtera 1'),
 (10, 'Jalan Sebana Cove'),
 (10, 'Jalan Pulai Emas'),
 (10, 'Jalan Pekeliling'),
 (10, 'Jalan Lapangan Terbang Senai'),
 (10, 'Jalan Kota Tinggi'),
 (10, 'Jalan Kampung Maju Jaya'),
 (10, 'Jalan Indah'),
 (10, 'Hillview Avenue'),
 (10, 'Fort Road'),
 (10, 'Complex Mekarsari'),
 (10, 'Coastline of Singapore'),
 (10, 'Changi Road'),
 (10, 'Centre View'),
 (10, 'Business Park Drive'),
 (10, 'Bukit Batok East Avenue 6'),
 (10, 'Blk 46'),
 (10, 'Blk 28'),
 (10, 'Blk 26'),
 (10, 'Blk 22'),
 (10, 'Blk 20'),
 (10, 'Blk 19'),
 (10, 'Blk 10'),
 (10, 'Beach Road'),
 (10, 'Asrama Kolej Vokasional Tanjung Puteri'),
 (10, 'Anchorvale Road'),
 (10, 'Adam Road'),
 (10, '57'),
 (10, '246'),
 (10, '233'),
 (10, '232'),
 (10, '230'),
 (10, '213'),
 (10, '210'),
 (10, '204'),
 (10, '202'),
 (10, '139'),
 (10, '138'),
 (10, '134'),
 (10, '132'),
 (10, '130'),
 (10, '129'),
 (10, '118'),
 (10, '105'),
 (9, 'Yishun Avenue 6'),
 (9, 'Whampoa Drive'),
 (9, 'West Camp Road'),
 (9, 'Ubi Avenue 2'),
 (9, 'Toh Tuck Interchange'),
 (9, 'Toh Tuck Avenue'),
 (9, 'Tennis Court'),
 (9, 'Tembeling Road'),
 (9, 'Temasek Boulevard'),
 (9, 'Tampines Central 1'),
 (9, 'Tampines Avenue 8'),
 (9, 'Taman Yose Indah'),
 (9, 'Sunset Way'),
 (9, 'Sungei Tengah Road'),
 (9, 'Sungei Noordin'),
 (9, 'Sungei Kadut Street 1'),
 (9, 'Stamford Road'),
 (9, 'Sims Way'),
 (9, 'SPC'),
 (9, 'SMK Sri Tebrau'),
 (9, 'SBST Braddell Bus Park'),
 (9, 'Pelton Canal Park Connector'),
 (9, 'Pasir Gudang North Interchange'),
 (9, 'Pasar Mitra Raya'),
 (9, 'Parliement (Dprd Kota Batam)'),
 (9, 'Pandan Loop'),
 (9, 'Orchard Road'),
 (9, 'Old Tampines Road'),
 (9, 'Nanyang View'),
 (9, 'Mandai Avenue'),
 (9, 'Loyang Bus Depot'),
 (9, 'Lorong Ah Soo'),
 (9, 'Lorong 4 Toa Payoh'),
 (9, 'Lorong 4'),
 (9, 'Lorong 1 Toa Payoh'),
 (9, 'Lebuh Putra Utama'),
 (9, 'Kranji Way'),
 (9, 'Kolej Vokasional Tanjung Puteri'),
 (9, 'Kent Ridge Cresent'),
 (9, 'Joon Koon Circle'),
 (9, 'Jl.Pangeran Diponegoro'),
 (9, 'Jl.Hang Tuah'),
 (9, 'Jalan Utama'),
 (9, 'Jalan Tengku Azizah'),
 (9, 'Jalan Putra 1'),
 (9, 'Jalan Persiaran Tanjung'),
 (9, 'Jalan Padi Mahsuri'),
 (9, 'Jalan Gelang Patah-Ulu Choh'),
 (9, 'Gilstead Road'),
 (9, 'Eunos Link'),
 (9, 'Elias Road'),
 (9, 'East Coast Road'),
 (9, 'Choa Chu Kang Drive'),
 (9, 'Choa Chu Kang Avenue 3'),
 (9, 'Chin Swee Road'),
 (9, 'Chancery Lane'),
 (9, 'Cavenagh Road'),
 (9, 'Cantonment Road'),
 (9, 'Buangkok View'),
 (9, 'Bras Basah Road'),
 (9, 'Boundary Road'),
 (9, 'Boon Lay Drive'),
 (9, 'Blk 47'),
 (9, 'Blk 44'),
 (9, 'Blk 31'),
 (9, 'Blk 25'),
 (9, 'Blk 21'),
 (9, 'Blk 17'),
 (9, 'Blk 14'),
 (9, 'Blk 12'),
 (9, 'Blk 109'),
 (9, 'Blk 104'),
 (9, 'Blk 101'),
 (9, 'Bedok South Road'),
 (9, 'Beach View'),
 (9, 'Aviation Park Road'),
 (9, '70'),
 (9, '52'),
 (9, '42'),
 (9, '40'),
 (9, '314'),
 (9, '311'),
 (9, '249'),
 (9, '245'),
 (9, '240'),
 (9, '237'),
 (9, '222'),
 (9, '212'),
 (9, '211'),
 (9, '206'),
 (9, '136'),
 (9, '128'),
 (9, '104'),
 (8, 'Zion Road'),
 (8, 'West Coast Park'),
 (8, 'Volleyball Court'),
 (8, 'Ulu Tiram Interchange'),
 (8, 'U.Turn'),
 (8, 'Turf Club Road'),
 (8, 'Tuas West Drive'),
 (8, 'Tuas South Avenue 9'),
 (8, 'Telok Blangah Way'),
 (8, 'Tanjong Rhu Road'),
 (8, 'Tanjong Katong Road'),
 (8, 'Sungei Kadut Drive'),
 (8, 'Still Road'),
 (8, 'Spanish Village'),
 (8, 'Siloso Road'),
 (8, 'Siloso Beach Walk'),
 (8, 'Sengkang West Avenue'),
 (8, 'Sengkang Central'),
 (8, 'Sembawang Drive'),
 (8, 'Sekolah Sri Johor Bahru'),
 (8, 'Sekolah Kebangsaan Sri Tebrau'),
 (8, 'Sekolah Kebangsaan Majidi Baru'),
 (8, 'Sector A Sin Ming Ind Estate'),
 (8, 'SMK Taman Pelangi'),
 (8, 'SK (P) Bandar Tinggi'),
 (8, 'SBST Changi Bus Park'),
 (8, 'S.K Mohd Khir Johari'),
 (8, 'Raffles Boulevard'),
 (8, 'Punggol Walk'),
 (8, 'Punggol Drive'),
 (8, 'Police Province Hq (Polda Kepri)'),
 (8, 'Persiaran Nusaria'),
 (8, 'Permata Niaga Ruko, Sukajadi Batam'),
 (8, 'Pelabuhan T.Punggur'),
 (8, 'Pasir Gudang Interchange'),
 (8, 'Nusajaya North Interchange'),
 (8, 'Margoliouth Road'),
 (8, 'Lower Kent Ridge Road'),
 (8, 'Kranji Road'),
 (8, 'Kallang Road'),
 (8, 'Kaki Bukit Avenue 1'),
 (8, 'Jurong West Central 1'),
 (8, 'Johor Raya Interchange'),
 (8, 'Jl.Jendral Sudirman'),
 (8, 'Jelebu Road'),
 (8, 'Jalan Toa Payoh'),
 (8, 'Jalan Sungai Tiram'),
 (8, 'Jalan Suasa'),
 (8, 'Jalan Sri Stulang'),
 (8, 'Jalan Seri Alam'),
 (8, 'Jalan Rinting'),
 (8, 'Jalan Persekutuan 1'),
 (8, 'Jalan Masjid'),
 (8, 'Jalan Masai Baru'),
 (8, 'Jalan Lebuh Cemerlang'),
 (8, 'Jalan Kempas Lama'),
 (8, 'Jalan Gangsa'),
 (8, 'Jalan Bahar'),
 (8, 'International Road'),
 (8, 'Horizon Hills Interchange'),
 (8, 'Hang Nadim Airpot'),
 (8, 'Fernvale Road'),
 (8, 'Eu Tong Sen Street'),
 (8, 'Dunman Road'),
 (8, 'Dairy Farm Road'),
 (8, 'Crawford Street'),
 (8, 'Compassvale Street'),
 (8, 'Chatsworth Road'),
 (8, 'Changi South Avenue 3'),
 (8, 'Bukit Panjang Ring Road'),
 (8, 'Bukit Indah Highway'),
 (8, 'Bukit Indah East Interchange'),
 (8, 'Bukit Batok West Avenue 3'),
 (8, 'Bukit Batok Avenue 1'),
 (8, 'Blk 9'),
 (8, 'Blk 649'),
 (8, 'Blk 58'),
 (8, 'Blk 53'),
 (8, 'Blk 50'),
 (8, 'Blk 49'),
 (8, 'Blk 48'),
 (8, 'Blk 45'),
 (8, 'Blk 43'),
 (8, 'Blk 38'),
 (8, 'Blk 34'),
 (8, 'Blk 30'),
 (8, 'Blk 27'),
 (8, 'Blk 23'),
 (8, 'Blk 16'),
 (8, 'Blk 15'),
 (8, 'Blk 119'),
 (8, 'Blk 118'),
 (8, 'Blk 115'),
 (8, 'Blk 112'),
 (8, 'Blk 111'),
 (8, 'Blk 110'),
 (8, 'Blk 106'),
 (8, 'Blk 103'),
 (8, 'Blk 102'),
 (8, 'Bedok South Avenue 1'),
 (8, 'Bedok North Avenue 1'),
 (8, 'Basketball Court'),
 (8, 'Amber Road'),
 (8, '63'),
 (8, '627'),
 (8, '61'),
 (8, '406'),
 (8, '324'),
 (8, '323'),
 (8, '317'),
 (8, '312'),
 (8, '309'),
 (8, '302'),
 (8, '257'),
 (8, '255'),
 (8, '244'),
 (8, '239'),
 (8, '235'),
 (8, '229'),
 (8, '226'),
 (8, '218'),
 (8, '214'),
 (8, '209'),
 (8, '208'),
 (8, '205'),
 (8, '203'),
 (8, '201'),
 (8, '143'),
 (8, '141'),
 (8, '137'),
 (8, '133'),
 (8, '131'),
 (7, 'Yishun Industrial Park A'),
 (7, 'Woodlands Centre Road'),
 (7, 'West Coast Carpark'),
 (7, 'Upper Boon Keng Road'),
 (7, 'Tuas Crescent'),
 (7, 'Toa Payoh East'),
 (7, 'Tiban Indah (Btn)'),
 (7, 'The Peak'),
 (7, 'Telok Blangah Heights'),
 (7, 'Tampines Street 92'),
 (7, 'Swiss Club Road'),
 (7, 'Surau'),
 (7, 'Shenton Way'),
 (7, 'Sentosa Express'),
 (7, 'Sek. Keb. Sri Amar'),
 (7, 'Scotts Road'),
 (7, 'SBST Hougang Depot'),
 (7, 'Royal Johor Country Club Interchange'),
 (7, 'Route 2'),
 (7, 'Rochor Road'),
 (7, 'Rhu Cross'),
 (7, 'Pltd Tg.Sengkuang'),
 (7, 'Ocarina'),
 (7, 'North Bridge Road'),
 (7, 'Normanton Park'),
 (7, 'Newton Flyover'),
 (7, 'Nassim Road'),
 (7, 'Merpati Road'),
 (7, 'Loyang Way'),
 (7, 'Lorong Kismis'),
 (7, 'Lorong 1 Geylang Terminal'),
 (7, 'Limau Garden'),
 (7, 'Keng Lee Road'),
 (7, 'Kavling Sambau'),
 (7, 'Kallang Bahru Flyover'),
 (7, 'Jurong West Street 62'),
 (7, 'Jurong West Avenue 1'),
 (7, 'Johor Bahru Interchange'),
 (7, 'Jln Bkt Ho Swee'),
 (7, 'Jl.S.Parman'),
 (7, 'Jl.Hotel Vista'),
 (7, 'Jl.Brigjen Katamso'),
 (7, 'Jalan Wijaya'),
 (7, 'Jalan Tun Aminah'),
 (7, 'Jalan Tanjung Kupang'),
 (7, 'Jalan Sutera 1'),
 (7, 'Jalan Setia Tropika Utama'),
 (7, 'Jalan Senang'),
 (7, 'Jalan Pulai Jaya'),
 (7, 'Jalan Pulai'),
 (7, 'Jalan Persiaran Perling 2'),
 (7, 'Jalan Persiaran Perling 1'),
 (7, 'Jalan Kota Tinggi-Sungei Rengit'),
 (7, 'Jalan Kota Masai'),
 (7, 'Jalan Kenanga'),
 (7, 'Jalan Kemuning'),
 (7, 'Jalan Kempas 2'),
 (7, 'Jalan Kempas'),
 (7, 'Jalan Jurong Kechil'),
 (7, 'Jalan Hang Jebat'),
 (7, 'Jalan Firma 2'),
 (7, 'Jalan Datin Halimah Interchange'),
 (7, 'Jalan Bunga Ros'),
 (7, 'Jalan Aman'),
 (7, 'Hypermart Nagoya Hill'),
 (7, 'Hougang Avenue 7'),
 (7, 'Holland Grove View'),
 (7, 'Heng Mui Keng Terrace'),
 (7, 'Gul Circle'),
 (7, 'Garlick Avenue'),
 (7, 'Gambas Avenue'),
 (7, 'Futsal Court'),
 (7, 'Fidelio Street'),
 (7, 'Esplanade Drive'),
 (7, 'Duchess Avenue'),
 (7, 'Dataran Bandaraya Interchange'),
 (7, 'Create Way'),
 (7, 'Coronation Road West'),
 (7, 'College Link way'),
 (7, 'Circuit Road'),
 (7, 'Changkat Indah'),
 (7, 'Changi South Avenue 2'),
 (7, 'Central Boulevard'),
 (7, 'Boon Keng Road'),
 (7, 'Blk 56'),
 (7, 'Blk 55'),
 (7, 'Blk 52'),
 (7, 'Blk 51'),
 (7, 'Blk 42'),
 (7, 'Blk 40'),
 (7, 'Blk 37'),
 (7, 'Blk 35'),
 (7, 'Blk 29'),
 (7, 'Blk 130'),
 (7, 'Blk 121'),
 (7, 'Blk 117'),
 (7, 'Blk 116'),
 (7, 'Blk 113'),
 (7, 'Blk 108'),
 (7, 'Blk 107'),
 (7, 'Blk 105'),
 (7, 'Bishan Street 11'),
 (7, 'Binjai Park'),
 (7, '722'),
 (7, '720'),
 (7, '71'),
 (7, '705'),
 (7, '69'),
 (7, '66'),
 (7, '65'),
 (7, '639'),
 (7, '633'),
 (7, '631'),
 (7, '629'),
 (7, '626'),
 (7, '625'),
 (7, '623'),
 (7, '62'),
 (7, '59'),
 (7, '531'),
 (7, '513'),
 (7, '512'),
 (7, '503'),
 (7, '48'),
 (7, '419'),
 (7, '417'),
 (7, '416'),
 (7, '412'),
 (7, '410'),
 (7, '408'),
 (7, '405'),
 (7, '404'),
 (7, '403'),
 (7, '402'),
 (7, '401'),
 (7, '345'),
 (7, '332'),
 (7, '330'),
 (7, '329'),
 (7, '328'),
 (7, '326'),
 (7, '322'),
 (7, '321'),
 (7, '319'),
 (7, '318'),
 (7, '316'),
 (7, '315'),
 (7, '313'),
 (7, '310'),
 (7, '308'),
 (7, '307'),
 (7, '304'),
 (7, '303'),
 (7, '301'),
 (7, '256'),
 (7, '254'),
 (7, '253'),
 (7, '251'),
 (7, '250'),
 (7, '248'),
 (7, '247'),
 (7, '242'),
 (7, '241'),
 (7, '238'),
 (7, '236'),
 (7, '225'),
 (7, '220'),
 (7, '219'),
 (7, '217'),
 (7, '216'),
 (7, '215'),
 (7, '207'),
 (7, '172'),
 (7, '171'),
 (7, '148'),
 (7, '146'),
 (7, '145'),
 (7, '144'),
 (7, '142'),
 (7, '140'),
 (7, '135'),
 (6, 'Yio Chu Kang Gardens'),
 (6, 'Woodlands Avenue 8'),
 (6, 'Westlake Avenue'),
 (6, 'Watten Estate Road'),
 (6, 'Vihara Purnama Mahayana'),
 (6, 'Varsity Park Path'),
 (6, 'Varsity Park Condo'),
 (6, 'Ubi Road 1'),
 (6, 'Tuas West Road'),
 (6, 'Tuas Circus'),
 (6, 'Toa Payoh North Interchange'),
 (6, 'Tiban Ayu'),
 (6, 'Tebrau Industrial Area IV Interchange'),
 (6, 'Tampoi Interchange'),
 (6, 'Tampines Link'),
 (6, 'Tampines Avenue 4'),
